//Branch,Name,FrEnode,ToEnode,Circuit,Voltage,Resistance,Reactance,NormalLimit,CtgLimit,Solve,Enforce,Monitor,Switchable,Penalty,AngleLimit,Hvdc,CID
1712 902299,1712 MUENSTER_9 69 902299 MUENSTER_9 69,1712,902299,1,69,0,1e-04,11110,11110,1,1,,,,,,
1713 1715,1713 MEMC_W_T8 138 1715 MEMC_SW_3_8 138,1713,1715,1,138,0.00123,0.00692,251.111111111111,251.111111111111,1,1,,,,,,
1713 1754,1713 MEMC_W_T8 138 1754 VAN_AL_8 138,1713,1754,1,138,0.00608,0.03529,251.111111111111,251.111111111111,1,1,,,,,,
1713 1758,1713 MEMC_W_T8 138 1758 PAYNE1_8 138,1713,1758,1,138,0.00292,0.01695,251.111111111111,251.111111111111,1,1,,,,,,
1714 1740,1714 SHRM_TI_2_8 138 1740 SHRM_TI_T8 138,1714,1740,1,138,0,1e-04,11110,11110,1,1,,,,,,
1715 1717,1715 MEMC_SW_3_8 138 1717 MEMC_SW_1_8 138,1715,1717,1,138,0,1e-04,11110,11110,1,1,,,,,,
1716 37370,1716 ST_JO_P9 69 37370 TNSAINT_JO0 69,1716,37370,1,69,0.03185,0.04758,28.1111111111111,28.1111111111111,1,1,,,,,,
1716 902299,1716 ST_JO_P9 69 902299 MUENSTER_9 69,1716,902299,1,69,0.145692,0.132349,33.3333333333333,33.3333333333333,1,1,,,,,,
1716 902309,1716 ST_JO_P9 69 902309 ST_JO_P9 69,1716,902309,1,69,0,1e-04,11110,11110,1,1,,,,,,
1717 1753,1717 MEMC_SW_1_8 138 1753 MEMC_E_T8 138,1717,1753,1,138,0.00067,0.00379,251.111111111111,251.111111111111,1,1,,,,,,
1718 1759,1718 GAINVL_E_T9 69 1759 PAYNE1_9 69,1718,1759,1,69,0.43545,0.514493,37.7777777777778,37.7777777777778,1,1,,,,,,
1718 902313,1718 GAINVL_E_T9 69 902313 GAINVL_T9 69,1718,902313,1,69,0.08399,0.09108,33.3333333333333,33.3333333333333,1,1,,,,,,
1719 902313,1719 GAINVL_T9 69 902313 GAINVL_T9 69,1719,902313,1,69,0,1e-04,11110,11110,1,1,,,,,,
1719 902315,1719 GAINVL_T9 69 902315 GAINVLCH_9 69,1719,902315,1,69,0.15802,0.13483,33.3333333333333,33.3333333333333,1,1,,,,,,
1722 902315,1722 GAINVLCH_9 69 902315 GAINVLCH_9 69,1722,902315,1,69,0,1e-04,11110,11110,1,1,,,,,,
1723 3171,1723 LIBERTY_8 138 3171 EMORYNOR_8 138,1723,3171,1,138,0.003623,0.017062,217.777777777778,217.777777777778,1,1,,,,,,
1723 6800,1723 LIBERTY_8 138 6800 LIBTY_RC 138,1723,6800,1,138,0,1e-04,11110,11110,1,1,,,,,,
1724 1738,1724 WHTBORSE_8 138 1738 WHTBORSE_P8 138,1724,1738,1,138,0,1e-04,496.666666666667,496.666666666667,1,1,,,,,,
1724 1744,1724 WHTBORSE_8 138 1744 GORDVL_T8 138,1724,1744,1,138,0.00055,0.00387,504.444444444444,504.444444444444,1,1,,,,,,
1725 1744,1725 GORDVL_8 138 1744 GORDVL_T8 138,1725,1744,1,138,0.00062,0.00363,504.444444444444,504.444444444444,1,1,,,,,,
1725 6810,1725 GORDVL_8 138 6810 GORDVLRC 138,1725,6810,1,138,0,1e-04,127.777777777778,151.111111111111,1,1,,,,,,
1729 2373,1729 VAL_STH_5 345 2373 ANNASW_5 345,1729,2373,1,345,0.00187,0.01813,1914.44444444444,1914.44444444444,1,1,,,,,,
173 177,173 CRAWFORD 138 177 BOSQUE 138,173,177,1,138,0.007512,0.041057,275.555555555556,275.555555555556,1,1,,,,,,
1730 2373,1730 W_KRUM_5 345 2373 ANNASW_5 345,1730,2373,1,345,0.001778,0.032224,6904.44444444444,6904.44444444444,1,1,,,,,,
1730 33646,1730 W_KRUM_5 345 33646 LEWISVLSW5_2 345,1730,33646,1,345,0.001096,0.017288,3452.22222222222,3452.22222222222,1,1,,,,,,
1730 6101,1730 W_KRUM_5 345 6101 RILEY7A 345,1730,6101,1,345,0.0041,0.074299,6904.44444444444,6904.44444444444,1,1,,,,,,
1732 1733,1732 SHER_NW_8 138 1733 PERRIN_T8 138,1732,1733,1,138,0.00158,0.01228,251.111111111111,251.111111111111,1,1,,,,,,
1732 1758,1732 SHER_NW_8 138 1758 PAYNE1_8 138,1732,1758,1,138,0.00382,0.02063,251.111111111111,251.111111111111,1,1,,,,,,
1733 1734,1733 PERRIN_T8 138 1734 FINK_T8 138,1733,1734,1,138,0.00568,0.00879,94.4444444444444,94.4444444444444,1,1,,,,,,
1733 1737,1733 PERRIN_T8 138 1737 DENISN_W1_8 138,1733,1737,1,138,0.00223,0.01297,251.111111111111,251.111111111111,1,1,,,,,,
1734 1735,1734 FINK_T8 138 1735 FINK_8 138,1734,1735,1,138,0.01122,0.02943,145.555555555556,145.555555555556,1,1,,,,,,
1734 1736,1734 FINK_T8 138 1736 PERRIN1_8 138,1734,1736,1,138,0.00069,0.00106,94.4444444444444,94.4444444444444,1,1,,,,,,
1737 1742,1737 DENISN_W1_8 138 1742 TEXOMA_T8 138,1737,1742,1,138,0.00049,0.00284,251.111111111111,251.111111111111,1,1,,,,,,
1738 6804,1738 WHTBORSE_P8 138 6804 WHTS_RC 138,1738,6804,1,138,1e-05,1e-04,11110,11110,1,1,,,,,,
1739 1742,1739 DENISND_T8 138 1742 TEXOMA_T8 138,1739,1742,1,138,0.00231,0.01341,237.777777777778,237.777777777778,1,1,,,,,,
1739 1743,1739 DENISND_T8 138 1743 DENISN_N_8 138,1739,1743,1,138,0.0014,0.00808,251.111111111111,251.111111111111,1,1,,,,,,
1739 6949,1739 DENISND_T8 138 6949 DENISDMA_8 138,1739,6949,1,138,0.00014,0.001,165.555555555556,165.555555555556,1,1,,,,,,
1740 1749,1740 SHRM_TI_T8 138 1749 SHRM_TI_1_8 138,1740,1749,1,138,0,1e-04,11110,11110,1,1,,,,,,
1740 1750,1740 SHRM_TI_T8 138 1750 SHER_S_8 138,1740,1750,1,138,5e-04,0.00287,251.111111111111,251.111111111111,1,1,,,,,,
