,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
2017-02-23 10:00:00-06:00,10416.2013301,1234.157819,2173.7906645,737.1233232,11345.3193842,2961.8780566,5530.1892442,1041.9536893,35440.6135111
2017-02-23 11:00:00-06:00,10776.1187587,1267.5712998,2212.3928579,744.5915908,11596.0143429,3181.7542733,5726.957205,1051.2753738,36556.6757022
2017-02-23 12:00:00-06:00,11181.7831333,1305.4175025,2238.120369,757.8619514,11931.1690597,3426.1115941,5944.7387948,1070.5878139,37855.7902187
2017-02-23 13:00:00-06:00,11656.7536225,1350.1574088,2268.5207771,769.9122832,12318.0981766,3694.8086849,6241.023121,1098.0625633,39397.3366374
2017-02-23 14:00:00-06:00,11979.4202673,1391.3343365,2296.4833691,784.152361,12634.617152,3926.5380739,6567.7279001,1123.4516318,40703.7250917
2017-02-23 15:00:00-06:00,12238.8223045,1409.4007116,2313.1376334,795.0086148,12824.8761075,4069.8072403,6886.429591,1152.0113435,41689.4935466
2017-02-23 16:00:00-06:00,12244.9166135,1422.8615524,2326.3401469,801.6027575,12978.6777321,4104.2293374,7123.657893,1167.6496089,42169.9356417
2017-02-23 17:00:00-06:00,11833.4148616,1377.1717199,2301.4484062,794.7407331,12951.6640824,3935.7197032,7125.1722629,1156.2497541,41475.5815234
2017-02-23 18:00:00-06:00,11441.6613345,1380.2450384,2269.6390175,797.9361277,13027.7409574,3735.779255,7048.0201938,1150.5758249,40851.5977492
2017-02-23 19:00:00-06:00,11335.0514825,1392.52083,2293.8411829,805.2475241,13124.0406095,3686.7536555,7004.1758518,1165.5670658,40807.1982021
2017-02-23 20:00:00-06:00,11008.6748282,1290.2592536,2272.8586787,791.8128868,12849.4134534,3533.8986764,6786.3599938,1136.370997,39669.6487679
2017-02-23 21:00:00-06:00,10453.8965131,1259.0981381,2215.2477536,750.09173,12226.0771615,3329.6350599,6314.9618209,1085.5432775,37634.5514546
2017-02-23 22:00:00-06:00,9739.4557422,1172.8412815,2154.1903349,699.8725396,11245.7582579,3090.1045809,5703.4829301,1015.0345347,34820.7402018
2017-02-23 23:00:00-06:00,8993.2192441,1066.3085488,2088.6119689,651.0547537,10159.1959264,2771.2456097,5095.6168225,942.4047054,31767.6575795
2017-02-24 00:00:00-06:00,8495.7277121,994.6689996,2054.8937519,618.499122,9292.8819757,2535.1301632,4655.7309076,869.0371985,29516.5698306
2017-02-24 01:00:00-06:00,8167.2302977,939.0257814,2026.9368008,606.9158793,8793.6739578,2379.8009461,4346.1109079,848.8545312,28108.5491022
2017-02-24 02:00:00-06:00,7965.9590317,929.0919722,2004.6895996,597.4607,8451.1414623,2275.2324296,4187.0214489,838.4555055,27249.0521498
2017-02-24 03:00:00-06:00,7921.7831299,897.2399031,1996.2104038,594.296999,8282.3889154,2223.1608483,4107.4699726,836.1133246,26858.6634967
2017-02-24 04:00:00-06:00,8048.4563428,891.0644251,2011.6065884,597.2156323,8474.9415735,2222.5600024,4103.0091182,807.863498,27156.7171807
