//scn,ara,int,BalancePrice,LoadFlowPrice,LoadLossPrice,LoadPrice,SourceFlowPrice,SourceLossPrice,SourcePrice,Loss,LossUpdate,LossError
ScnDA,WZ_NORTH,17,3.323,43.083,0.000,46.406,8.265,0.000,11.588,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,18,8.302,38.864,0.000,47.166,4.626,0.000,12.928,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,19,17.298,27.841,0.000,45.139,-4.192,0.000,13.107,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,20,28.831,15.564,0.000,44.394,-15.746,0.000,13.084,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,21,28.648,15.712,0.000,44.360,-15.785,0.000,12.863,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,22,29.161,15.907,0.000,45.068,-17.465,0.000,11.696,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,23,15.936,29.615,0.000,45.551,-6.156,0.000,9.780,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH,24,15.834,29.652,0.000,45.486,-7.341,0.000,8.494,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,1,41.777,-9.022,0.000,32.755,-10.567,0.000,31.211,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,2,47.236,-15.258,0.000,31.978,-17.289,0.000,29.948,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,3,52.955,-21.068,0.000,31.887,-22.604,0.000,30.351,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,4,53.798,-21.570,0.000,32.228,-23.108,0.000,30.690,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,5,61.833,-29.094,0.000,32.739,-29.675,0.000,32.157,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,6,64.236,-31.288,0.000,32.948,-31.625,0.000,32.611,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,7,65.233,-31.835,0.000,33.398,-32.200,0.000,33.033,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_NORTH_CENTRAL,8,65.369,-31.894,0.000,33.474,-32.261,0.000,33.108,+0.0000e+000,+0.0000e+000,+0.0000e+000
