//scn,inj,int,LMP,BalancePrice,FlowPrice,LossPrice,LossFactor,LfUpdate,LfError
ScnDA,110001_N2,11,32.236,4.366,27.870,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,12,31.471,4.705,26.766,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,13,31.125,4.163,26.962,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,14,31.128,4.020,27.108,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,15,30.641,3.297,27.343,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,16,30.666,2.139,28.528,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,17,31.131,3.323,27.808,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,18,31.785,8.302,23.483,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,19,32.741,17.298,15.442,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,20,32.461,28.831,3.630,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,21,32.454,28.648,3.806,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,22,32.003,29.161,2.842,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,23,30.472,15.936,14.536,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110001_N2,24,30.242,15.834,14.408,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,1,30.886,41.777,-10.891,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,2,30.899,47.236,-16.337,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,3,31.948,52.955,-21.007,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,4,32.450,53.798,-21.347,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,5,32.311,61.833,-29.522,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,6,32.611,64.236,-31.625,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,7,33.028,65.233,-32.205,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,8,33.101,65.369,-32.267,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,9,33.029,63.386,-30.357,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,10,32.369,5.869,26.499,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,11,32.236,4.366,27.870,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,12,31.471,4.705,26.766,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,13,31.124,4.163,26.962,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,14,31.127,4.020,27.107,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,15,30.640,3.297,27.343,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,16,30.666,2.139,28.527,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,17,31.131,3.323,27.808,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,18,31.784,8.302,23.482,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,19,32.740,17.298,15.442,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,20,32.461,28.831,3.630,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,21,32.454,28.648,3.806,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,22,32.003,29.161,2.842,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,23,30.471,15.936,14.535,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110002_N1,24,30.242,15.834,14.407,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,1,30.844,41.777,-10.933,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,2,30.901,47.236,-16.335,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,3,31.970,52.955,-20.985,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,4,32.496,53.798,-21.302,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,5,32.282,61.833,-29.550,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,6,32.582,64.236,-31.654,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,7,32.995,65.233,-32.238,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,8,33.068,65.369,-32.300,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,9,33.010,63.386,-30.376,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,10,32.463,5.869,26.593,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,11,32.370,4.366,28.004,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,12,31.653,4.705,26.948,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,13,31.331,4.163,27.168,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,14,31.343,4.020,27.323,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,15,30.901,3.297,27.603,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,16,30.928,2.139,28.789,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,17,31.359,3.323,28.036,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,18,31.989,8.302,23.687,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,19,32.822,17.298,15.524,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,20,32.563,28.831,3.732,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,21,32.558,28.648,3.910,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,22,32.122,29.161,2.961,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,23,30.710,15.936,14.775,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110011_N1,24,30.475,15.834,14.641,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,1,30.844,41.777,-10.933,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,2,30.901,47.236,-16.335,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,3,31.970,52.955,-20.985,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,4,32.496,53.798,-21.302,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,5,32.282,61.833,-29.550,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,6,32.582,64.236,-31.654,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,7,32.995,65.233,-32.238,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,8,33.068,65.369,-32.300,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,9,33.010,63.386,-30.376,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,10,32.463,5.869,26.593,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,11,32.370,4.366,28.004,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,12,31.653,4.705,26.948,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,13,31.331,4.163,27.168,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,14,31.343,4.020,27.323,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,15,30.901,3.297,27.603,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,16,30.928,2.139,28.789,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,17,31.359,3.323,28.036,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,18,31.989,8.302,23.687,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,19,32.822,17.298,15.524,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,20,32.563,28.831,3.732,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,110012_N2,21,32.558,28.648,3.910,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
