id,scn,start,end,cap_mod,bat,bat_mod,bat_min,bat_loc,xm_mod,dr_amnt,scn_ref,xm_rlx,xm_sf,xm_viol,ltsa,fev,ld_mdl,desc,ts,rpt_all,curtail
128,Scn_502,2013-11-20,2013-11-30,1,FALSE,0,0,"",0.15,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,transmission kit,2020-04-01 22:55:27 -0500,none,0
129,Scn_504,2013-11-20,2013-11-30,0.75,FALSE,0,0,"",0.15,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,transmission kit,2020-04-01 22:55:40 -0500,none,0
130,Scn_505,2013-11-20,2013-11-30,1.25,FALSE,0,0,"",0.15,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,transmission kit,2020-04-01 22:55:54 -0500,none,0
161,Scn_506,2013-11-20,2013-11-30,1,FALSE,0,0,"",0.15,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,15% xm kit JUST 38131,2020-05-08 06:53:53 -0500,none,0
162,Scn_507,2013-11-20,2013-11-30,1,TRUE,0.15,0,38131,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,15% bat for 38131,2020-05-08 06:54:41 -0500,none,0
163,Scn_508,2013-11-20,2013-11-30,1,TRUE,0.25,0,38131,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,15% bat for 38131,2020-05-08 06:54:54 -0500,none,0
164,Scn_509,2013-11-20,2013-11-30,1,TRUE,0.35,0,38131,0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,15% bat for 38131,2020-05-08 06:55:08 -0500,none,0
131,Scn_512,2013-11-20,2013-11-30,1,FALSE,0,0,"",0.25,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,transmission kit,2020-04-01 22:56:08 -0500,none,0
132,Scn_514,2013-11-20,2013-11-30,0.75,FALSE,0,0,"",0.25,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,transmission kit,2020-04-01 22:56:25 -0500,none,0
133,Scn_515,2013-11-20,2013-11-30,1.25,FALSE,0,0,"",0.25,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,transmission kit,2020-04-01 22:56:37 -0500,none,0
157,Scn_601,2013-11-20,2013-11-30,0,FALSE,0,0,"",0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,testing surgical xm,2020-05-02 22:03:13 -0500,none,0
166,Scn_601,2013-11-20,2013-11-21,0,FALSE,0,0,"",0,0,"",0,0,0,ltsa_current_trends,concentrated,ARA,generating PC_TopPthInj,2020-05-20 17:36:48 -0500,none,0
167,Scn_602,2013-11-20,2013-11-21,0,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,surgical xm take 5!,2020-05-20 19:55:14 -0500,none,0
168,Scn_603,2013-11-20,2013-11-21,0,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,surgical xm take 6!,2020-05-20 21:03:13 -0500,none,0
169,Scn_604,2013-11-20,2013-11-21,0,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,surgical xm take 7!,2020-05-20 21:50:36 -0500,none,0
170,Scn_651,2013-11-20,2013-11-30,0,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,scaling up 604 to full run,2020-05-20 22:11:00 -0500,none,0
180,Scn_651,2013-11-20,2013-11-30,0,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,testing new mitigation,2020-05-21 20:00:27 -0500,none,0
191,Scn_6518,2013-08-01,2013-08-31,0,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,august,2020-05-28 09:35:08 -0500,none,0
171,Scn_652,2013-11-20,2013-11-30,1,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,"",2020-05-21 06:08:42 -0500,none,0
181,Scn_652,2013-11-20,2013-11-30,1,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,"",2020-05-27 09:19:38 -0500,none,0
192,Scn_6528,2013-08-01,2013-08-31,1,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,august,2020-05-28 09:35:51 -0500,none,0
172,Scn_654,2013-11-20,2013-11-30,0.75,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,"",2020-05-21 06:09:32 -0500,none,0
182,Scn_654,2013-11-20,2013-11-30,0.75,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,"",2020-05-27 09:20:08 -0500,none,0
173,Scn_655,2013-11-20,2013-11-30,1.25,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,"",2020-05-21 06:09:51 -0500,none,0
183,Scn_655,2013-11-20,2013-11-30,1.25,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,"",2020-05-27 09:20:29 -0500,none,0
174,Scn_659,2013-11-20,2013-11-30,1,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,dispersed,ARA,"",2020-05-21 06:10:11 -0500,none,0
184,Scn_659,2013-11-20,2013-11-30,1,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,dispersed,ARA,"",2020-05-27 09:20:46 -0500,none,0
175,Scn_661,2013-11-20,2013-11-30,0.75,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,dispersed,ARA,"",2020-05-21 06:10:32 -0500,none,0
185,Scn_661,2013-11-20,2013-11-30,0.75,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,dispersed,ARA,"",2020-05-27 09:21:04 -0500,none,0
176,Scn_662,2013-11-20,2013-11-30,1.25,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,dispersed,ARA,"",2020-05-21 06:10:54 -0500,none,0
186,Scn_662,2013-11-20,2013-11-30,1.25,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,dispersed,ARA,"",2020-05-27 09:21:20 -0500,none,0
214,Scn_666,2013-08-12,2013-08-16,0,FALSE,0,0,"",0,0,"",0,1,1,ltsa_current_trends,concentrated,ARA,peak congestion day,2020-06-12 06:31:55 -0500,chg,0
177,Scn_697,2013-01-29,2013-01-30,0,FALSE,0,0,"",0,0,"",0,1,0,ltsa_current_trends,concentrated,ARA,test case for xm_viol,2020-05-21 12:22:08 -0500,none,0
178,Scn_698,2013-05-03,2013-05-04,0,FALSE,0,0,"",0,0,"",0,1,0,ltsa_current_trends,concentrated,ARA,test case for xm_viol,2020-05-21 12:22:22 -0500,none,0
179,Scn_699,2013-03-23,2013-03-24,0,FALSE,0,0,"",0,0,"",0,1,0,ltsa_current_trends,concentrated,ARA,test case for xm_viol,2020-05-21 12:22:34 -0500,none,0
